Start Station Name,End Station Name,Count
Ottawa / William,Métro de l'Église (Ross / de l'Église),1
Fullum / Marie-Anne,St-Viateur / Casgrain,17
Fullum / Marie-Anne,Métro Peel (de Maisonneuve / Stanley),1
Fullum / Marie-Anne,Omer-Lavallée / du Midway,19
Fullum / Marie-Anne,Berri / Rachel,13
Fullum / Marie-Anne,Métro Place-d'Armes (St-Urbain / Viger),1
Ontario / Ville-Marie,9e avenue / Masson,9
Ontario / Ville-Marie,Omer-Lavallée / du Midway,17
Ottawa / William,Métro Place-d'Armes (St-Urbain / Viger),1
Ottawa / William,William / Robert-Bourassa,4
Fullum / Marie-Anne,St-Antoine / Jean-Paul Riopelle,1
Fullum / Marie-Anne,de Maisonneuve / de Bleury,17
Fullum / Marie-Anne,Molson / William-Tremblay,20
Fullum / Marie-Anne,Métro Parc  (Hutchison / Ogilvy),11
Fullum / Marie-Anne,St-Jacques / McGill,23
Fullum / Marie-Anne,Laurier / de Brébeuf,18
Fullum / Marie-Anne,Émile-Duployé / Sherbrooke,33
Ontario / Ville-Marie,Ontario / Ville-Marie,6
Ontario / Ville-Marie,de Maisonneuve / Fullum,4
Ottawa / William,St-Jacques / McGill,2
Ottawa / William,Ottawa / William,4
Métro Sherbrooke (de Rigaud / Berri),Fullum / Marie-Anne,19
Métro Sherbrooke (de Rigaud / Berri),St-Laurent / Pl. du Marché,9
Métro Sherbrooke (de Rigaud / Berri),Métro Rosemont (de St-Vallier / Rosemont),5
Métro Sherbrooke (de Rigaud / Berri),Marché Jean-Talon (Casgrain / Shamrock),20
Métro Sherbrooke (de Rigaud / Berri),Métro Sherbrooke (de Rigaud / Berri),48
Métro Sherbrooke (de Rigaud / Berri),du Mont-Royal / Clark,20
Métro Sherbrooke (de Rigaud / Berri),15e avenue / Laurier,7
Métro Sherbrooke (de Rigaud / Berri),Parc du Père-Marquette (de Bellechasse / de Lanaudière),3
Métro Sherbrooke (de Rigaud / Berri),Notre-Dame / St-Gabriel,8
