Start Station Name,End Station Name,Count,Total Duration
Ontario / Ville-Marie,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),7,13769782
Ottawa / William,Peel / Notre-Dame,35,16610266
Ottawa / William,Smith / Peel,10,3509233
Fullum / Marie-Anne,Messier / St-Joseph,11,6430477
Ottawa / William,Place Ville-Marie (Robert-Bourassa / René-Lévesque),2,1360175
Ottawa / William,de la Commune / St-Sulpice,31,24340055
Ottawa / William,Place du Canada (Peel / des Canadiens-de-Montréal),2,909391
Fullum / Marie-Anne,Fabre / Jean-Talon,4,5491365
Fullum / Marie-Anne,de Gaspé / Marmier,17,17893583
Fullum / Marie-Anne,Laurier / St-Denis,19,18109072
Fullum / Marie-Anne,BAnQ (Berri),16,15440513
Fullum / Marie-Anne,Christophe-Colomb / Beaubien,26,29517192
Ontario / Ville-Marie,Bennett / Ste-Catherine,13,4943801
Ottawa / William,Cathcart / McGill College,3,2534354
Ottawa / William,Métro de l'Église (Ross / de l'Église),1,1205061
Fullum / Marie-Anne,St-Viateur / Casgrain,17,19867146
Fullum / Marie-Anne,Métro Peel (de Maisonneuve / Stanley),1,1706434
Fullum / Marie-Anne,Omer-Lavallée / du Midway,19,11491961
Fullum / Marie-Anne,Berri / Rachel,13,9218488
Fullum / Marie-Anne,Métro Place-d'Armes (St-Urbain / Viger),1,1462890
Ontario / Ville-Marie,9e avenue / Masson,9,12808036
Ontario / Ville-Marie,Omer-Lavallée / du Midway,17,20201227
Ottawa / William,Métro Place-d'Armes (St-Urbain / Viger),1,945812
Ottawa / William,William / Robert-Bourassa,4,1465299
Fullum / Marie-Anne,St-Antoine / Jean-Paul Riopelle,1,1383746
Fullum / Marie-Anne,de Maisonneuve / de Bleury,17,20388307
Fullum / Marie-Anne,Molson / William-Tremblay,20,9483289
Fullum / Marie-Anne,Métro Parc  (Hutchison / Ogilvy),11,18706455
Fullum / Marie-Anne,St-Jacques / McGill,23,34860809
Fullum / Marie-Anne,Laurier / de Brébeuf,18,13408634
Fullum / Marie-Anne,Émile-Duployé / Sherbrooke,33,15232817
Ontario / Ville-Marie,Ontario / Ville-Marie,6,4243180
Ontario / Ville-Marie,de Maisonneuve / Fullum,4,3951234
Ottawa / William,St-Jacques / McGill,2,1392193
Ottawa / William,Ottawa / William,4,1544209
Métro Sherbrooke (de Rigaud / Berri),Fullum / Marie-Anne,19,21762316
Métro Sherbrooke (de Rigaud / Berri),St-Laurent / Pl. du Marché,9,5823227
Métro Sherbrooke (de Rigaud / Berri),Métro Rosemont (de St-Vallier / Rosemont),5,5492486
Métro Sherbrooke (de Rigaud / Berri),Marché Jean-Talon (Casgrain / Shamrock),20,103179317
Métro Sherbrooke (de Rigaud / Berri),Métro Sherbrooke (de Rigaud / Berri),48,25256191
Métro Sherbrooke (de Rigaud / Berri),du Mont-Royal / Clark,20,199335318
Métro Sherbrooke (de Rigaud / Berri),15e avenue / Laurier,7,13716652
Métro Sherbrooke (de Rigaud / Berri),Parc du Père-Marquette (de Bellechasse / de Lanaudière),3,4311947
Métro Sherbrooke (de Rigaud / Berri),Notre-Dame / St-Gabriel,8,4595461
Métro Sherbrooke (de Rigaud / Berri),de l'Hôtel-de-Ville / Rachel,22,12851279
Métro Sherbrooke (de Rigaud / Berri),Métro Joliette  (Hochelaga / Joliette),3,2520997
Métro Sherbrooke (de Rigaud / Berri),Émile-Duployé / Rachel,34,25836936
Métro Sherbrooke (de Rigaud / Berri),Robert-Bourassa / St-Maurice,1,920664
Métro Sherbrooke (de Rigaud / Berri),Métro St-Laurent (de Maisonneuve / St-Laurent),14,6544529
Métro Sherbrooke (de Rigaud / Berri),Rachel / de Brébeuf,36,18383249
Métro Sherbrooke (de Rigaud / Berri),Métro Mont-Royal (Utilités publiques / Rivard),22,13649983
Métro Sherbrooke (de Rigaud / Berri),du Parc-Lafontaine / Rachel,9,4607886
Métro Sherbrooke (de Rigaud / Berri),Masson / Molson,41,57009923
Métro Sherbrooke (de Rigaud / Berri),Métro Laurier (Berri / St-Joseph),4,4501386
Métro Sherbrooke (de Rigaud / Berri),Laurier / St-Denis,39,29252647
Métro Sherbrooke (de Rigaud / Berri),des Érables / Rachel,53,40227812
Métro Sherbrooke (de Rigaud / Berri),Cathcart / McGill College,7,4625879
Métro Sherbrooke (de Rigaud / Berri),9e avenue / Masson,3,4598995
Métro Sherbrooke (de Rigaud / Berri),Berri / Rachel,22,11390942
Métro Sherbrooke (de Rigaud / Berri),Garnier / du Mont-Royal,14,11794752
Métro Sherbrooke (de Rigaud / Berri),des Pins / St-Laurent,125,44078442
Métro Sherbrooke (de Rigaud / Berri),McTavish / Sherbrooke,16,11306344
Métro Sherbrooke (de Rigaud / Berri),Laurier / de Brébeuf,32,30135679
Métro Sherbrooke (de Rigaud / Berri),de Maisonneuve / Aylmer (ouest),6,55090715
Métro Sherbrooke (de Rigaud / Berri),Parc Jeanne-Mance (du Mont-Royal / du Parc),4,3621025
Jeanne-Mance / René-Lévesque,St-Laurent / Pl. du Marché,11,12602782
Jeanne-Mance / René-Lévesque,Métro Rosemont (de St-Vallier / Rosemont),1,1555650
du Mont-Royal / St-André,Dorion / Ontario,3,2100967
du Mont-Royal / St-André,Marché Jean-Talon (Casgrain / Shamrock),9,9091061
du Mont-Royal / St-André,Bernard / Jeanne-Mance,8,8101202
Hochelaga / Dézéry,Fullum / Marie-Anne,3,1862193
Hochelaga / Dézéry,Place Valois (Valois / Ontario),9,4132526
Marché Maisonneuve (Ontario / Morgan),Place Valois (Valois / Ontario),20,6885526
Marché Maisonneuve (Ontario / Morgan),Dorion / Ontario,7,7718456
Jeanne-Mance / René-Lévesque,du Mont-Royal / Clark,8,13017947
du Mont-Royal / St-André,Métro Sherbrooke (de Rigaud / Berri),8,4316505
du Mont-Royal / St-André,Parc du Père-Marquette (de Bellechasse / de Lanaudière),2,1220244
du Mont-Royal / St-André,St-Urbain / Laurier,22,12394353
